GEOID10,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
35045000302,New Mexico,San Juan County,1,3479,1432,0,0,0,0,0,0,0,1,0,18.9,67308,0,1,0,1,0,0,0,1,NULL,1978,NULL,NULL,851,NULL,1978,56.86,851,24.46,484,13.92,276,7.95,1495,42.97,29,0.83,19,0.55,2,0.07,260,7.46,173,4.97,353,10.16,126,8.79,112,7.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1414,871,490,2690,43,22,4,401,319,640,157,182
35045000401,New Mexico,San Juan County,1,5335,2008,0,232,4.35,0,0,0,0,0,0,19.7,79250,0,1,0,1,0,0,0,0,147,3596,147,90,1260,90,3596,67.39,1260,23.61,867,16.26,519,9.72,2487,46.61,39,0.74,23,0.42,0,0,664,12.45,382,7.17,605,11.34,30,1.5,169,8.41,147,2.75,90,1.68,31,0.58,21,0.4,98,1.84,0,0.01,0,0,0,0,36,0.68,12,0.22,21,0.39,3,0.14,7,0.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1620,1409,731,3592,50,32,0,1049,612,959,33,213
35045000402,New Mexico,San Juan County,1,3671,1290,0,466,12.69,0,1,0,0,0,1,21.7,51486,0,1,0,1,0,0,0,0,441,1473,441,212,702,212,1473,40.13,702,19.12,447,12.16,94,2.56,700,19.07,12,0.33,3,0.07,6,0.16,537,14.64,215,5.85,354,9.65,32,2.49,128,9.93,441,12.01,212,5.78,126,3.43,27,0.74,224,6.12,3,0.07,1,0.03,4,0.11,164,4.46,45,1.22,95,2.59,5,0.41,39,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1702,915,558,1657,48,12,7,1424,523,815,175,307
35045000503,New Mexico,San Juan County,1,3144,883,0,0,0,1,1,1,0,0,1,14.4,43615,1,1,1,1,1,0,0,0,3144,3144,3144,1800,1800,1800,3144,100,1800,57.25,1158,36.83,134,4.26,982,31.23,35,1.11,10,0.32,0,0,1589,50.54,528,16.79,890,28.31,22,2.46,225,25.51,3144,100,1800,57.25,1158,36.83,134,4.26,982,31.23,35,1.11,10,0.32,0,0,1589,50.54,528,16.79,890,28.31,22,2.46,225,25.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1697,1158,134,982,35,10,0,1589,528,890,20,236
35045000504,New Mexico,San Juan County,0,2088,656,0,0,0,0,0,0,0,0,0,17.3,75750,1,1,0,0,0,1,0,0,1640,1640,NULL,558,558,NULL,2088,100,710,34,639,30.6,198,9.48,995,47.65,13,0.62,3,0.14,2,0.1,941,45.07,134,6.42,215,10.3,0,0,57,8.7,2088,100,710,34,639,30.6,198,9.48,995,47.65,13,0.62,3,0.14,2,0.1,941,45.07,134,6.42,215,10.3,0,0,57,8.7,1640,78.55,558,26.74,527,25.24,148,7.07,781,37.41,12,0.57,2,0.11,2,0.1,739,35.39,104,4.98,167,8.01,0,0,44,6.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,666,639,198,995,13,3,2,941,134,215,0,56
35045000505,New Mexico,San Juan County,1,7501,2302,0,0,0,0,0,0,0,1,0,16.1,68636,1,1,1,1,1,0,0,1,7501,7501,7501,3167,3167,3167,7501,100,3167,42.22,2358,31.44,618,8.24,2871,38.27,32,0.43,21,0.28,20,0.27,3931,52.41,626,8.35,846,11.28,120,5.23,193,8.4,7501,100,3167,42.22,2358,31.44,618,8.24,2871,38.27,32,0.43,21,0.28,20,0.27,3931,52.41,626,8.35,846,11.28,120,5.23,193,8.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2537,2358,618,2871,32,21,20,3931,626,846,107,177
35045000607,New Mexico,San Juan County,0,3632,941,0,700,19.27,0,0,0,0,0,0,15.6,57841,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3632,100,1525,41.98,966,26.6,233,6.42,1820,50.11,37,1.02,3,0.08,2,0.06,1161,31.97,609,16.77,936,25.77,22,2.29,165,17.5,3619,99.64,1520,41.85,964,26.53,231,6.37,1811,49.85,37,1.02,3,0.08,2,0.06,1158,31.88,609,16.76,936,25.76,22,2.29,164,17.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1600,966,233,1820,37,3,2,1161,609,936,23,202
35045000608,New Mexico,San Juan County,0,6130,2014,0,0,0,0,0,0,0,0,0,15.7,68088,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,6111,99.7,1803,29.41,1957,31.93,427,6.97,3891,63.48,34,0.55,16,0.26,1,0.02,1210,19.74,959,15.65,1447,23.6,0,0,370,18.36,5690,92.83,1708,27.87,1839,30,388,6.32,3635,59.3,31,0.51,15,0.24,1,0.02,1114,18.17,894,14.59,1346,21.95,0,0,342,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1844,1961,431,3909,34,16,1,1210,960,1448,0,404
35045000609,New Mexico,San Juan County,1,1416,603,0,0,0,0,0,0,0,0,0,16.3,55694,1,1,1,1,1,0,0,0,478,1050,478,187,410,187,1050,74.12,410,28.95,267,18.84,162,11.45,844,59.63,8,0.55,6,0.42,0,0,36,2.58,155,10.94,245,17.33,41,6.87,72,11.96,478,33.76,187,13.19,116,8.17,68,4.81,384,27.13,2,0.15,3,0.23,0,0,14,0.96,75,5.28,105,7.42,18,2.99,31,5.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525,361,232,1138,9,6,0,53,210,339,58,101
35045000610,New Mexico,San Juan County,1,4516,1768,0,0,0,1,1,1,0,0,1,22.4,53295,1,1,1,1,1,0,0,0,1147,3250,1147,441,1493,441,3250,71.96,1493,33.07,882,19.53,439,9.72,2568,56.86,7,0.16,9,0.2,1,0.02,294,6.5,371,8.22,732,16.22,54,3.06,250,14.14,1147,25.41,441,9.76,319,7.06,141,3.12,923,20.43,0,0.01,4,0.09,0,0,67,1.49,153,3.39,278,6.16,20,1.15,82,4.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022,1221,581,3583,14,17,1,409,492,1009,64,314
