GEOID10,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
35001000107,New Mexico,Bernalillo County,1,2715,1257,0,0,0,0,0,0,0,0,0,4.2,119770,0,1,0,1,0,0,0,0,196,1822,196,27,210,27,1822,67.11,210,7.72,298,10.98,453,16.68,1647,60.67,25,0.91,40,1.47,2,0.08,16,0.59,92,3.39,253,9.3,20,1.58,69,5.49,196,7.23,27,0.98,32,1.18,39,1.44,179,6.58,1,0.03,8,0.3,0,0,0,0.01,9,0.31,24,0.87,3,0.24,7,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,317,467,621,2386,60,52,3,71,143,426,41,95
35001000108,New Mexico,Bernalillo County,1,2683,1238,0,38,1.42,0,0,0,0,0,0,7.4,79063,0,0,0,0,0,0,0,0,NULL,180,NULL,NULL,20,NULL,180,6.7,20,0.74,30,1.11,43,1.62,159,5.93,2,0.09,4,0.15,0,0,4,0.16,10,0.38,28,1.05,4,0.35,6,0.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,602,507,487,2200,79,94,0,110,200,568,75,90
35001000109,New Mexico,Bernalillo County,1,2577,1024,0,6,0.23,0,0,0,0,0,0,7.6,103188,0,1,0,1,0,0,0,0,NULL,1520,NULL,NULL,449,NULL,1520,58.98,449,17.42,324,12.58,265,10.3,1189,46.14,35,1.36,50,1.94,1,0.02,70,2.72,175,6.79,436,16.93,40,3.87,51,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,484,545,545,2114,48,78,1,89,247,663,46,78
35001000110,New Mexico,Bernalillo County,1,3561,1735,0,0,0,0,1,0,0,0,1,22.6,60987,0,1,0,1,0,0,0,0,NULL,1188,NULL,NULL,422,NULL,1188,33.35,422,11.86,244,6.85,213,5.97,952,26.74,51,1.43,19,0.52,3,0.09,48,1.35,115,3.22,324,9.11,19,1.07,94,5.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1697,673,589,2730,142,61,5,131,492,1016,102,278
35001000111,New Mexico,Bernalillo County,1,2807,1133,0,8,0.29,0,0,0,0,0,0,4.9,101667,0,1,0,1,0,0,0,0,NULL,1409,NULL,NULL,135,NULL,1409,50.21,135,4.81,337,12,220,7.83,1145,40.78,50,1.78,72,2.57,0,0,24,0.85,119,4.24,358,12.75,10,0.87,11,0.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,413,621,513,2361,81,120,0,31,214,700,22,20
35001000112,New Mexico,Bernalillo County,1,2080,967,0,0,0,0,0,0,0,0,0,10.1,88654,1,1,1,1,1,0,0,0,1738,2080,1738,509,616,509,2080,100,616,29.6,354,17.02,434,20.87,1848,88.85,35,1.68,55,2.64,1,0.05,41,1.97,100,4.81,318,15.29,15,1.54,46,4.78,1738,83.56,509,24.46,280,13.48,380,18.26,1550,74.52,29,1.39,44,2.11,1,0.04,33,1.61,81,3.89,253,12.17,11,1.17,39,4.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,584,354,434,1848,35,55,1,41,100,318,13,41
35001000113,New Mexico,Bernalillo County,1,3157,1380,0,0,0,0,1,0,0,0,1,20,65446,0,1,0,1,0,0,0,0,40,1480,40,14,548,14,1480,46.89,548,17.37,302,9.57,196,6.2,1176,37.25,78,2.47,32,1.01,3,0.09,52,1.64,140,4.42,422,13.36,54,3.93,101,7.31,40,1.26,14,0.44,9,0.29,10,0.31,37,1.18,0,0,1,0.05,0,0,1,0.02,1,0.02,12,0.37,2,0.12,3,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1773,697,425,2525,135,64,3,119,311,956,66,200
35001000114,New Mexico,Bernalillo County,1,3197,1308,0,4,0.13,0,0,0,0,0,0,19.7,57177,0,0,0,0,0,0,0,0,NULL,356,NULL,NULL,123,NULL,356,11.13,123,3.84,75,2.35,36,1.13,286,8.94,9,0.28,4,0.11,0,0,13,0.4,45,1.39,116,3.62,9,0.69,26,1.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1066,708,375,2470,83,48,4,146,446,1213,70,218
35001000115,New Mexico,Bernalillo County,1,3269,1449,0,8,0.24,0,1,0,1,1,1,22.7,49735,0,1,0,1,0,0,0,1,NULL,1679,NULL,NULL,773,NULL,1679,51.36,773,23.66,392,11.99,173,5.3,1060,32.43,101,3.1,26,0.8,3,0.09,140,4.29,348,10.66,632,19.33,158,10.91,202,13.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1570,744,427,2318,163,40,4,212,532,1117,239,393
35001000116,New Mexico,Bernalillo County,1,2908,1231,0,10,0.34,0,0,0,0,0,0,5.1,84211,0,1,0,1,0,0,0,0,196,1863,196,31,350,31,1863,64.07,350,12.04,377,12.97,382,13.15,1564,53.8,41,1.4,33,1.15,1,0.05,32,1.1,191,6.58,513,17.64,8,0.64,21,1.67,196,6.74,31,1.08,36,1.24,58,1.98,174,5.99,4,0.13,2,0.06,0,0.01,2,0.07,14,0.47,45,1.54,1,0.09,2,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,609,612,549,2363,83,73,2,52,335,874,8,31
35001000117,New Mexico,Bernalillo County,1,2326,980,0,7,0.3,0,0,0,0,0,0,15.7,62721,0,1,0,1,0,0,0,0,NULL,1254,NULL,NULL,392,NULL,1254,53.91,392,16.86,227,9.75,243,10.46,1028,44.18,29,1.23,68,2.91,0,0.01,29,1.26,101,4.32,365,15.71,11,1.08,46,4.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,950,447,468,1939,46,92,7,62,180,649,25,76
35001000118,New Mexico,Bernalillo County,1,2828,1212,0,11,0.39,0,0,0,0,0,0,12.1,83472,0,1,0,1,0,0,0,0,NULL,945,NULL,NULL,292,NULL,945,33.43,292,10.31,189,6.69,207,7.31,756,26.74,28,0.99,17,0.61,1,0.04,54,1.91,89,3.14,232,8.19,26,2.15,22,1.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,650,636,459,2083,111,45,2,236,351,789,77,57
35001000119,New Mexico,Bernalillo County,1,1836,763,0,14,0.76,0,0,0,0,0,0,7.5,110078,0,1,0,1,0,0,0,0,NULL,1802,NULL,NULL,334,NULL,1802,98.17,334,18.2,373,20.3,437,23.81,1528,83.21,53,2.88,39,2.11,2,0.11,49,2.64,133,7.22,475,25.85,11,1.45,43,5.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340,380,445,1557,54,39,2,49,135,484,11,43
35001000120,New Mexico,Bernalillo County,1,2666,1148,0,0,0,0,1,0,0,0,1,26,60398,0,1,0,1,0,0,0,0,NULL,1591,NULL,NULL,717,NULL,1591,59.68,717,26.9,371,13.91,219,8.23,1256,47.13,56,2.09,30,1.12,1,0.05,80,3.01,168,6.29,512,19.22,53,4.6,98,8.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1187,628,362,2155,71,51,3,111,275,888,58,143
35001000121,New Mexico,Bernalillo County,1,5770,2752,0,128,2.22,0,0,0,0,0,0,15.9,54576,0,1,0,1,0,0,0,0,NULL,1822,NULL,NULL,638,NULL,1822,31.58,638,11.06,398,6.9,379,6.56,1498,25.97,35,0.6,101,1.75,0,0,43,0.74,145,2.52,597,10.34,64,2.34,128,4.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2078,1063,1301,4636,211,215,4,170,534,1853,212,434
35001000122,New Mexico,Bernalillo County,1,4088,1948,0,17,0.42,0,0,0,0,0,0,13.3,71613,0,1,0,1,0,0,0,0,NULL,1962,NULL,NULL,422,NULL,1962,47.98,422,10.32,340,8.31,434,10.62,1589,38.88,39,0.97,96,2.36,2,0.05,53,1.29,182,4.45,544,13.32,47,2.41,57,2.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,984,687,915,3206,76,248,3,104,451,1159,124,125
35001000123,New Mexico,Bernalillo County,1,5064,2048,0,8,0.16,0,0,0,0,0,0,10.5,53630,0,1,0,1,0,0,0,0,32,4224,32,17,1681,17,4224,83.41,1681,33.2,939,18.54,668,13.19,3289,64.94,141,2.78,88,1.73,2,0.05,156,3.09,548,10.82,1656,32.7,77,3.75,151,7.4,32,0.64,17,0.34,9,0.18,2,0.03,21,0.42,3,0.06,0,0.01,0,0,2,0.05,5,0.11,16,0.32,0,0,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1568,1132,823,3934,151,132,3,178,666,1939,76,176
35001000124,New Mexico,Bernalillo County,1,3642,2029,0,188,5.16,0,1,0,1,1,1,15.8,46646,0,1,0,1,0,0,0,1,NULL,1673,NULL,NULL,701,NULL,1673,45.95,701,19.24,236,6.49,308,8.47,1160,31.84,72,1.98,40,1.11,0,0.01,108,2.96,293,8.06,698,19.15,184,9.06,141,6.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1478,546,575,2533,182,76,1,227,623,1428,408,310
35001000125,New Mexico,Bernalillo County,1,4204,1786,0,0,0,0,0,0,0,0,0,4.2,107604,1,1,1,1,1,0,0,0,3939,4204,3939,517,554,517,4204,100,554,13.19,719,17.1,742,17.65,3514,83.59,88,2.09,264,6.28,2,0.05,66,1.57,270,6.42,894,21.27,20,1.14,20,1.12,3939,93.7,517,12.3,669,15.91,698,16.61,3306,78.63,78,1.85,246,5.86,2,0.05,63,1.5,244,5.81,813,19.34,19,1.05,19,1.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,511,719,742,3514,88,264,2,66,270,894,19,19
35001000126,New Mexico,Bernalillo County,1,2866,1333,0,0,0,0,0,0,0,0,0,13.3,73571,1,1,1,1,1,0,0,0,785,2817,785,248,842,248,2817,98.31,842,29.37,508,17.74,488,17.04,2283,79.66,97,3.37,96,3.34,4,0.12,72,2.52,266,9.29,839,29.27,60,4.5,89,6.71,785,27.4,248,8.65,137,4.77,112,3.92,646,22.54,26,0.92,12,0.41,0,0,29,1.01,72,2.52,255,8.9,10,0.75,27,2.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,757,520,494,2310,102,96,4,74,280,861,56,82
35001000127,New Mexico,Bernalillo County,1,2801,1152,0,12,0.43,0,0,0,0,0,0,12.2,67472,0,1,0,1,0,0,0,0,NULL,2228,NULL,NULL,541,NULL,2228,79.54,541,19.31,484,17.26,360,12.85,1706,60.92,60,2.16,61,2.19,1,0.04,80,2.86,319,11.37,870,31.06,27,2.35,84,7.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,806,611,456,2143,77,73,1,113,394,1119,23,101
35001000128,New Mexico,Bernalillo County,1,3228,1265,0,20,0.62,0,0,0,0,0,1,25.8,58774,0,0,0,0,0,0,0,0,NULL,103,NULL,NULL,34,NULL,103,3.18,34,1.05,24,0.76,12,0.36,71,2.19,4,0.14,3,0.09,0,0,4,0.12,21,0.64,45,1.39,5,0.37,7,0.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1535,774,402,2278,148,63,1,158,580,1497,95,213
35001000129,New Mexico,Bernalillo County,1,4692,2270,0,92,1.96,0,0,0,0,1,0,16.1,57348,0,1,0,1,0,0,0,1,254,3291,254,125,1336,125,3291,70.15,1336,28.48,778,16.59,426,9.08,2266,48.3,134,2.85,87,1.85,2,0.04,309,6.58,494,10.53,1124,23.95,136,6.01,289,12.71,254,5.42,125,2.67,69,1.47,30,0.65,173,3.7,13,0.27,3,0.06,0,0,22,0.47,43,0.92,88,1.86,7,0.31,22,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1700,1018,851,3327,184,160,3,367,651,1552,304,368
35001000203,New Mexico,Bernalillo County,1,1953,980,0,0,0,0,0,0,0,0,1,27.1,56429,0,0,0,0,0,0,0,0,NULL,102,NULL,NULL,49,NULL,102,5.2,49,2.5,29,1.5,5,0.26,59,3.04,1,0.07,0,0,0,0,9,0.44,32,1.65,43,2.21,5,0.48,6,0.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,787,348,286,1428,70,23,2,159,271,555,115,140
35001000204,New Mexico,Bernalillo County,1,3285,1408,0,8,0.24,0,0,0,0,1,0,11.4,59983,0,1,0,1,0,0,0,1,NULL,2067,NULL,NULL,526,NULL,2067,62.92,526,16,428,13.04,326,9.93,1351,41.12,53,1.62,29,0.9,4,0.12,178,5.41,452,13.75,985,30,121,8.56,111,7.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,817,696,496,2027,92,52,4,325,785,1563,143,162
35001000205,New Mexico,Bernalillo County,1,3229,1519,0,0,0,0,1,0,1,1,1,21.7,52944,0,1,0,1,0,0,0,1,NULL,2160,NULL,NULL,1246,NULL,2160,66.9,1246,38.6,393,12.16,253,7.83,1376,42.62,61,1.87,28,0.87,2,0.06,163,5.05,530,16.43,1089,33.74,102,6.74,157,10.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1779,609,400,2071,112,53,4,221,768,1593,130,218
